,Smoking,Alcohol,Punctuality,Lying,Internet usage,Gender,Left - right handed,Education,Only child,Village - town,House - block of flats,Music,Slow songs or fast songs,Dance,Folk,Country,Classical music,Musical,Pop,Rock,Metal or Hardrock,Punk,"Hiphop, Rap","Reggae, Ska","Swing, Jazz",Rock n roll,Alternative,Latino,"Techno, Trance",Opera,Movies,Horror,Thriller,Comedy,Romantic,Sci-fi,War,Fantasy/Fairy tales,Animated,Documentary,Western,Action,History,Psychology,Politics,Mathematics,Physics,Internet,PC,Economy Management,Biology,Chemistry,Reading,Geography,Foreign languages,Medicine,Law,Cars,Art exhibitions,Religion,"Countryside, outdoors",Dancing,Musical instruments,Writing,Passive sport,Active sport,Gardening,Celebrities,Shopping,Science and technology,Theatre,Fun with friends,Adrenaline sports,Pets,Flying,Storm,Darkness,Heights,Spiders,Snakes,Rats,Ageing,Dangerous dogs,Fear of public speaking,Healthy eating,Daily events,Prioritising workload,Writing notes,Workaholism,Thinking ahead,Final judgement,Reliability,Keeping promises,Loss of interest,Friends versus money,Funniness,Fake,Criminal damage,Decision making,Elections,Self-criticism,Judgment calls,Hypochondria,Empathy,Eating to survive,Giving,Compassion to animals,Borrowed stuff,Loneliness,Cheating in school,Health,Changing the past,God,Dreams,Charity,Number of friends,Waiting,New environment,Mood swings,Appearence and gestures,Socializing,Achievements,Responding to a serious letter,Children,Assertiveness,Getting angry,Knowing the right people,Public speaking,Unpopularity,Life struggles,Happiness in life,Energy levels,Small - big dogs,Personality,Finding lost valuables,Getting up,Interests or hobbies,Parents' advice,Questionnaires or polls,Finances,Shopping centres,Branded clothing,Entertainment spending,Spending on looks,Spending on gadgets,Spending on healthy eating,Age,Height,Weight,Number of siblings
83,former smoker,social drinker,i am always on time,sometimes,few hours a day,female,right handed,secondary school,no,city,block of flats,5.0,3.0,5.0,1.0,2.0,4.0,4.0,5.0,5.0,3.0,1.0,3.0,2.0,4.0,3.0,1.0,5.0,5.0,3.0,5.0,3.0,5.0,5.0,5.0,1.0,1.0,5.0,5.0,5.0,1.0,5.0,3.2073412698412698,2.0,1.0,1.0,1.0,5.0,3.0,3.0,5.0,3.0,2.0,2.0,4.0,5.0,5.0,4.0,3.0,1.0,5.0,3.0,1.0,1.0,3.3879396984924623,1.0,3.0,1.0,3.0,3.0,5.0,5.0,5.0,5.0,3.0,4.0,5.0,3.0,5.0,4.0,4.0,3.0,3.0,3.0,3.0,1.0,3.0,5.0,3.0,3.0,3.0,5.0,4.0,1.0,3.0,5.0,2.0,2.0,2.0,5.0,1.0,4.0,1.0,5.0,1.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,4.0,3.0,3.0,4.0,3.0,5.0,5.0,5.0,3.0,3.0,1.0,5.0,5.0,5.0,3.0,3.0,3.0,5.0,3.0,4.0,1.0,3.0,4.0,5.0,3.0,2.0,3.0,3.0,3.0,1.0,3.0,5.0,5.0,5.0,22.0,163.0,53.0,2.0
84,former smoker,drink a lot,i am often running late,everytime it suits me,few hours a day,female,right handed,secondary school,yes,city,block of flats,5.0,3.0,1.0,1.0,4.0,5.0,5.0,1.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,3.0,1.0,5.0,5.0,5.0,5.0,4.0,1.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,1.0,1.0,4.0,4.0,1.0,4.0,4.0,5.0,5.0,5.0,3.0,3.0,2.6868787276341948,3.0,3.0,5.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,4.0,4.0,5.0,5.0,3.0,5.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,4.0,5.0,1.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,4.0,5.0,1.0,5.0,4.0,4.0,2.0,5.0,3.0,3.0,5.0,4.0,3.0,5.0,5.0,5.0,4.0,5.0,1.0,5.0,2.0,5.0,3.0,5.0,5.0,3.0,3.0,5.0,4.0,4.0,3.0,4.0,1.0,2.0,5.0,4.0,5.0,4.0,3.0,5.0,5.0,4.0,1.0,1.0,4.0,5.0,4.0,5.0,4.0,5.0,19.0,168.0,48.0,0.0
85,tried smoking,social drinker,i am often running late,sometimes,most of the day,male,right handed,college/bachelor degree,no,city,block of flats,5.0,2.0,3.0,3.0,5.0,5.0,3.0,3.0,4.0,4.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,4.0,3.0,5.0,3.0,3.0,5.0,4.0,3.0,5.0,5.0,5.0,3.0,3.0,3.0,4.0,3.0,1.0,5.0,5.0,5.0,5.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,3.0,5.0,1.0,5.0,2.0,4.0,1.0,4.0,4.0,2.0,2.0,4.0,5.0,5.0,4.0,3.0,1.0,2.0,3.0,4.0,5.0,2.0,4.0,4.0,1.0,4.0,3.0,3.0,2.0,1.0,2.0,4.0,3.0,2.0,4.0,5.0,3.0,4.0,4.0,3.0,4.0,3.0,1.0,4.0,5.0,3.0,3.0,2.0,4.0,4.0,5.0,3.0,1.0,3.0,1.0,4.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,1.0,3.0,5.0,4.0,3.0,3.0,3.0,4.0,5.0,2.0,3.0,3.0,2.0,3.0,3.0,5.0,4.0,2.0,3.0,2.0,4.0,4.0,4.0,2.0,5.0,4.0,22.0,159.0,53.0,2.0
86,current smoker,social drinker,i am often running late,sometimes,few hours a day,male,right handed,masters degree,no,city,block of flats,4.0,3.0,4.0,3.0,3.0,3.0,2.0,4.0,5.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,5.0,2.0,4.0,4.0,1.0,4.0,4.0,3.0,4.0,4.0,3.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,2.0,1.0,2.0,5.0,5.0,5.0,4.0,2.0,4.0,4.0,4.0,4.0,2.0,2.0,3.0,3.0,1.0,5.0,3.0,5.0,2.0,4.0,4.0,5.0,5.0,4.0,4.0,1.0,5.0,4.0,4.0,2.0,5.0,5.0,4.0,4.0,1.0,4.0,3.0,2.0,3.0,4.0,4.0,2.0,2.0,3.0,5.0,4.0,3.0,3.0,2.0,5.0,3.0,4.0,4.0,3.0,4.0,3.0,2.0,1.0,2.0,4.0,4.0,1.0,4.0,3.0,3.0,3.0,4.0,5.0,3.0,4.0,3.0,2.0,1.0,4.0,2.0,1.0,1.0,1.0,24.0,179.0,65.0,3.0
87,former smoker,social drinker,i am often early,sometimes,few hours a day,female,right handed,college/bachelor degree,no,village,house/bungalow,5.0,4.0,4.0,1.0,2.0,2.0,4.0,4.0,5.0,2.0,4.0,3.0,5.0,3.0,4.0,4.0,5.0,2.0,1.0,5.0,1.0,5.0,5.0,4.0,1.0,5.0,3.0,2.0,4.0,2.0,3.0,5.0,4.0,5.0,2.3346573982125123,1.0,5.0,2.0,4.0,3.0,2.0,3.0,4.0,5.0,1.0,4.0,1.0,2.0,2.0,3.0,5.0,1.0,1.0,2.0,5.0,1.0,2.0,5.0,3.0,4.0,5.0,5.0,3.0,1.0,2.0,2.0,1.0,3.0,3.0,3.0,5.0,3.0,2.0,3.0,5.0,4.0,3.0,4.0,3.0,1.0,4.0,4.0,1.0,4.0,3.0,1.0,2.0,3.0,2.0,4.0,5.0,1.0,5.0,1.0,5.0,3.0,4.0,1.0,5.0,3.0,2.0,5.0,3.0,1.0,3.0,2.0,4.0,3.0,4.0,3.0,3.0,2.0,5.0,5.0,3.0,4.0,3.0,4.0,4.0,4.0,5.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,5.0,3.0,4.0,5.0,4.0,4.0,18.0,159.0,50.0,3.0
88,former smoker,drink a lot,i am often early,never,few hours a day,female,right handed,secondary school,yes,city,block of flats,5.0,5.0,5.0,1.0,1.0,5.0,2.0,5.0,5.0,1.0,1.0,1.0,1.0,5.0,5.0,4.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,2.0,2.0,1.0,3.0,3.0,4.0,1.0,5.0,5.0,1.0,5.0,1.0,1.0,5.0,1.0,1.0,4.0,1.0,5.0,5.0,5.0,1.0,3.0,1.0,3.0,5.0,3.0,4.0,1.0,5.0,1.0,1.0,2.0,5.0,5.0,3.0,3.0,5.0,1.0,5.0,5.0,2.0,2.0,4.0,5.0,1.0,2.0,1.0,5.0,5.0,3.0,5.0,1.0,5.0,5.0,5.0,1.0,3.0,3.0,5.0,5.0,4.0,1.0,1.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,3.0,3.0,3.0,1.0,1.0,5.0,3.0,4.0,1.0,5.0,5.0,3.0,5.0,1.0,5.0,1.0,1.0,2.0,1.0,1.0,3.0,4.0,5.0,1.0,5.0,5.0,1.0,5.0,5.0,3.0,2.0,2.0,2.0,21.0,164.0,75.0,0.0
89,tried smoking,social drinker,i am often early,only to avoid hurting someone,few hours a day,female,right handed,masters degree,no,village,house/bungalow,5.0,3.0,3.0,2.0,1.0,4.0,3.0,3.0,5.0,3.0,3.0,1.0,2.0,4.0,4.0,4.0,2.0,1.0,3.0,5.0,1.0,4.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,4.0,3.0,4.0,2.0,2.0,1.0,4.0,3.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,3.0,1.0,4.0,4.0,1.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,5.0,4.0,5.0,3.0,3.0,4.0,3.0,2.0,3.0,4.0,4.0,4.0,4.0,2.0,5.0,4.0,3.0,2.0,5.0,5.0,4.0,3.0,4.0,5.0,4.0,2.0,5.0,5.0,3.0,3.0,4.0,3.0,5.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,2.0,3.0,3.0,5.0,5.0,5.0,3.0,4.0,5.0,5.0,3.0,3.0,1.0,3.0,4.0,3.0,3.0,4.0,2.0,4.0,2.0,2.0,2.0,3.0,3.0,3.0,22.0,156.0,50.0,2.0
90,tried smoking,social drinker,i am often running late,sometimes,most of the day,female,right handed,secondary school,no,village,house/bungalow,4.0,2.0,3.0,2.0,1.0,3.0,4.0,3.0,4.0,1.0,3.0,1.0,3.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,2.0,5.0,4.0,2.0,2.0,5.0,5.0,3.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0,3.0,1.0,4.0,4.0,1.0,3.0,1.0,4.0,4.0,1.0,3.0,1.0,5.0,1.0,1.0,1.0,4.0,3.0,2.0,5.0,2.0,3.0,2.0,3.0,1.0,3.0,5.0,3.0,1.0,5.0,4.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,5.0,2.0,3.0,3.0,2.0,1.0,5.0,3.0,4.0,4.0,1.0,5.0,4.0,4.0,2.0,1.0,3.0,5.0,4.0,5.0,5.0,4.0,3.0,3.0,1.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,1.0,4.0,3.0,2.0,4.0,5.0,4.0,5.0,3.0,3.0,2.0,5.0,3.0,3.0,2.0,1.0,3.0,4.0,5.0,4.0,3.0,3.0,19.0,154.0,58.0,3.0
91,never smoked,social drinker,i am often running late,sometimes,few hours a day,female,right handed,secondary school,no,village,house/bungalow,5.0,5.0,1.0,5.0,1.0,2.9561316051844466,5.0,3.0,5.0,5.0,5.0,1.0,5.0,1.0,3.0,1.0,1.0,1.0,1.0,5.0,4.0,4.0,5.0,5.0,3.0,1.0,5.0,5.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,4.175944333996024,5.0,1.0,5.0,1.0,1.0,1.0,5.0,5.0,1.0,1.0,1.0,1.0,5.0,5.0,1.0,1.0,5.0,3.0,1.0,3.0,3.0,1.0,3.0,5.0,4.0,1.0,1.0,3.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,1.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,3.0,5.0,3.0,5.0,3.0,1.0,1.0,5.0,1.0,3.0,3.0,3.0,5.0,3.0,3.0,1.0,2.0,2.0,5.0,3.0,3.0,5.0,3.0,2.0,3.0,1.0,4.0,3.2584493041749503,3.0,5.0,3.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,1.0,3.0,3.0,5.0,4.0,4.0,3.0,5.0,5.0,5.0,5.0,3.0,2.0,2.0,18.0,168.0,50.0,4.0
92,never smoked,social drinker,i am always on time,sometimes,few hours a day,female,right handed,college/bachelor degree,yes,city,block of flats,5.0,2.0,1.0,3.0,4.0,4.0,4.0,2.0,3.0,1.0,2.0,1.0,3.0,5.0,4.0,3.0,3.0,1.0,4.0,5.0,1.0,3.0,3.0,4.0,3.0,2.0,4.0,4.0,5.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,5.0,4.0,5.0,2.0,1.0,1.0,5.0,4.0,5.0,3.0,2.0,4.0,2.0,2.0,1.0,2.0,3.0,2.0,4.0,4.0,2.0,3.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,4.0,2.0,5.0,5.0,4.0,5.0,5.0,4.0,3.0,3.0,1.0,3.0,2.0,5.0,4.0,1.0,3.0,3.0,2.0,5.0,5.0,4.0,2.0,2.0,3.0,5.0,4.0,3.0,4.0,2.0,5.0,3.0,4.0,5.0,5.0,4.0,5.0,4.0,3.0,4.0,1.0,4.0,3.0,4.0,3.0,5.0,3.0,3.0,2.0,5.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,4.0,4.0,19.0,170.0,63.0,0.0
93,current smoker,drink a lot,i am always on time,never,few hours a day,male,right handed,masters degree,no,village,house/bungalow,5.0,4.0,1.0,5.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,1.0,5.0,4.0,1.0,1.0,1.0,4.0,4.0,4.0,3.0,3.0,1.0,4.0,3.0,3.0,4.0,3.0,3.0,1.0,2.0,3.0,1.0,4.0,4.0,5.0,5.0,3.0,2.0,2.0,1.0,5.0,2.0,1.0,2.0,5.0,3.0,1.0,4.0,1.0,2.0,1.0,4.0,4.0,1.0,1.0,1.0,5.0,1.0,5.0,4.0,3.0,5.0,4.0,2.0,4.0,2.0,1.0,2.4091360476663355,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,4.0,1.0,1.0,4.0,2.0,4.0,2.0,2.0,3.5791044776119403,1.0,1.0,2.0,4.0,1.0,2.0,4.0,3.0,5.0,1.0,1.0,5.0,2.0,1.0,5.0,5.0,5.0,2.0,2.0,3.0,2.0,1.0,3.0,5.0,1.0,3.0,2.0,3.0,1.0,5.0,5.0,5.0,5.0,3.0,3.0,5.0,2.0,2.0,4.0,1.0,3.0,4.0,2.0,4.0,3.0,24.0,175.0,80.0,2.0
94,tried smoking,social drinker,i am often running late,sometimes,most of the day,male,right handed,secondary school,no,city,block of flats,5.0,5.0,5.0,1.0,1.0,1.0,2.0,4.0,3.0,1.0,3.0,5.0,2.0,1.0,3.0,3.0,1.0,4.0,1.0,5.0,5.0,5.0,5.0,1.0,4.0,2.0,2.0,3.0,3.0,1.0,5.0,3.0,2.0,1.0,1.0,1.0,5.0,5.0,3.0,2.0,2.0,2.0,3.0,4.0,2.5164179104477613,2.0,4.0,2.0,2.0,4.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,4.0,2.0,4.0,2.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,3.0,2.0,3.0,3.0,4.0,4.0,3.0,2.0,4.0,2.0,4.0,2.0,4.0,2.0,2.0,4.0,2.0,5.0,3.0,2.0,5.0,4.0,3.0,1.0,2.0,1.0,2.0,2.0,3.0,4.0,4.0,4.0,2.0,2.0,2.0,4.0,4.0,4.0,5.0,2.0,1.0,3.0,3.0,4.0,3.0,2.0,4.0,2.0,1.0,1.0,3.0,5.0,4.0,2.0,3.0,5.0,2.0,21.0,179.0,68.0,1.0
95,tried smoking,drink a lot,i am often running late,only to avoid hurting someone,few hours a day,male,right handed,college/bachelor degree,no,city,house/bungalow,5.0,3.0,3.0,2.0,2.0,4.0,3.0,3.0,3.0,1.0,2.0,5.0,5.0,4.0,4.0,2.0,3.0,2.0,2.0,5.0,3.0,3.0,5.0,3.0,5.0,5.0,4.0,4.0,3.0,1.0,5.0,4.0,4.0,4.0,1.0,2.0,5.0,5.0,2.0,2.0,1.0,1.0,5.0,4.0,1.0,2.0,5.0,3.0,1.0,4.0,1.0,1.0,1.0,4.0,2.0,1.0,3.0,3.0,5.0,3.0,5.0,5.0,4.0,1.0,2.0,2.0,1.0,4.0,4.0,4.0,4.0,5.0,2.0,1.0,5.0,1.0,5.0,2.0,3.0,1.0,4.0,5.0,4.0,4.0,3.0,3.0,1.0,4.0,5.0,4.0,3.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,2.0,3.0,3.0,4.0,3.0,4.0,1.0,3.0,2.0,4.0,2.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,2.0,4.0,3.0,5.0,3.0,2.0,2.0,1.0,4.0,5.0,5.0,4.0,5.0,4.0,21.0,180.0,75.0,1.0
96,former smoker,drink a lot,i am often early,sometimes,few hours a day,male,right handed,college/bachelor degree,no,city,block of flats,5.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,5.0,4.0,3.0,1.0,1.0,1.0,4.0,1.0,4.0,1.0,2.0,1.0,1.0,5.0,1.0,5.0,5.0,5.0,5.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,5.0,5.0,1.0,1.0,1.0,1.0,2.0,4.0,5.0,3.0,5.0,1.0,5.0,5.0,1.0,2.0,3.0,1.0,3.0,3.0,1.0,5.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,4.0,5.0,4.0,1.0,3.0,4.0,5.0,2.0,2.0,2.0,2.0,5.0,1.0,1.0,2.0,1.0,5.0,1.0,1.0,4.0,4.0,4.0,3.0,4.0,5.0,1.0,2.0,3.0,1.0,1.0,1.0,5.0,1.0,4.0,1.0,19.0,182.0,81.0,1.0
97,tried smoking,drink a lot,i am always on time,sometimes,most of the day,male,right handed,primary school,no,village,block of flats,5.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,5.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,5.0,2.0,3.0,5.0,3.0,5.0,5.0,3.0,5.0,5.0,3.0,5.0,3.0,2.0,2.0,4.0,1.0,5.0,5.0,2.0,1.0,1.0,3.0,1.0,4.0,1.0,2.0,2.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,4.0,1.0,3.0,3.0,5.0,1.0,1.0,2.0,3.0,2.0,4.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,3.0,2.0,1.0,4.0,5.0,5.0,3.0,4.0,4.0,5.0,1.0,5.0,4.0,3.0,1.0,4.0,4.0,1.0,2.0,5.0,5.0,5.0,1.0,5.0,5.0,4.0,2.0,2.0,4.0,5.0,5.0,2.0,3.0,4.0,3.0,5.0,5.0,2.0,4.0,2.0,3.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,5.0,3.0,1.0,2.0,1.0,1.0,5.0,1.0,5.0,2.0,19.0,200.0,75.0,1.0
98,former smoker,drink a lot,i am often running late,never,few hours a day,male,right handed,secondary school,no,village,house/bungalow,3.0,5.0,5.0,1.0,1.0,1.0,1.0,3.0,5.0,2.0,1.0,1.0,3.0,2.0,2.0,5.0,5.0,3.0,1.0,3.0,3.0,3.0,2.0,2.0,5.0,5.0,1.0,3.0,5.0,3.0,5.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,1.0,2.0,1.0,3.0,5.0,5.0,2.0,1.0,1.0,3.0,1.0,5.0,1.0,1.0,1.0,5.0,5.0,1.0,1.0,3.0,5.0,1.0,5.0,5.0,1.0,1.0,1.0,1.0,3.0,5.0,1.0,1.0,3.0,3.0,1.0,4.0,1.0,1.0,2.0,2.0,3.0,3.0,5.0,5.0,3.0,3.0,4.0,2.0,1.0,3.0,1.0,5.0,5.0,3.0,5.0,3.0,1.0,5.0,3.0,5.0,5.0,3.0,2.0,5.0,3.0,1.0,4.0,5.0,5.0,5.0,5.0,3.0,2.0,3.0,4.0,3.0,1.0,3.0,2.0,2.0,1.0,3.0,3.0,3.0,4.0,3.0,5.0,5.0,1.0,2.0,3.0,4.0,4.0,3.0,1.0,1.0,5.0,22.0,187.0,70.0,1.0
99,never smoked,social drinker,i am always on time,only to avoid hurting someone,less than an hour a day,female,left handed,secondary school,no,city,house/bungalow,5.0,3.0,4.0,1.0,1.0,2.0,2.0,4.0,2.0,1.0,3.0,2.0,4.0,1.0,2.0,1.0,4.0,1.0,1.0,3.0,2.0,1.0,5.0,4.0,2.0,1.0,4.0,3.0,5.0,1.0,3.0,3.0,4.0,1.0,5.0,5.0,5.0,1.0,1.0,3.0,5.0,3.0,5.0,4.0,1.0,1.0,2.0,2.0,2.0,5.0,3.0,1.0,1.0,4.0,2.0,1.0,1.0,5.0,3.0,3.0,4.0,1.0,4.0,2.0,2.0,3.0,3.0,5.0,2.0,1.0,2.0,2.0,4.0,3.0,3.0,4.0,5.0,2.0,4.0,4.0,5.0,5.0,2.0,2.0,2.0,2.0,1.0,4.0,4.0,4.0,5.0,1.0,5.0,1.0,3.0,5.0,5.0,3.0,2.0,4.0,2.0,3.0,3.0,1.0,2.0,3.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,3.0,3.0,4.0,4.0,2.0,5.0,4.0,3.0,3.0,4.0,3.0,2.0,2.0,4.0,5.0,4.0,4.0,2.0,2.0,2.0,3.0,4.0,18.0,162.0,50.0,1.0
100,tried smoking,drink a lot,i am always on time,only to avoid hurting someone,few hours a day,female,right handed,secondary school,no,city,block of flats,5.0,4.0,4.0,3.0,2.0,4.0,5.0,4.0,5.0,3.0,2.0,4.0,4.0,3.0,3.0,2.0,3.0,2.0,2.0,5.0,2.0,2.0,5.0,5.0,3.0,2.0,5.0,5.0,3.0,2.0,3.0,3.0,1.0,2.0,2.0,3.0,5.0,5.0,2.0,5.0,5.0,3.0,2.0,4.0,5.0,1.0,2.0,3.0,4.0,4.0,1.0,4.0,1.0,4.0,1.0,3.0,3.0,4.0,3.0,3.0,5.0,3.0,2.0,3.0,4.0,3.0,5.0,4.0,3.0,3.0,1.0,5.0,3.0,3.0,1.0,5.0,5.0,3.0,4.0,4.0,4.0,5.0,1.0,5.0,4.0,1.0,1.0,5.0,5.0,2.0,4.0,1.0,5.0,1.0,5.0,3.0,5.0,3.0,3.0,1.0,1.0,5.0,4.0,2.0,5.0,3.0,3.0,1.0,5.0,4.0,5.0,1.0,5.0,3.0,2.0,3.0,4.0,2.0,5.0,5.0,5.0,3.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,1.0,2.0,4.0,3.0,3.0,21.0,172.0,71.0,1.0
101,tried smoking,social drinker,i am often running late,sometimes,few hours a day,male,right handed,secondary school,no,village,house/bungalow,5.0,3.0,1.0,3.0,2.0,3.0,1.0,2.0,4.0,5.0,4.0,1.0,4.0,3.0,3.0,3.0,1.0,1.0,2.0,4.0,1.0,4.0,5.0,3.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,1.0,4.0,1.0,1.0,4.0,3.0,1.0,1.0,1.0,5.0,4.0,3.0,1.0,2.0,3.0,1.0,3.0,3.0,1.0,1.0,1.0,5.0,1.0,1.0,2.0,1.0,3.0,1.0,5.0,1.0,3.0,2.0,1.0,1.0,2.0,5.0,5.0,3.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,4.0,4.0,4.0,2.0,2.0,4.0,4.0,4.0,2.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,1.0,1.0,3.0,5.0,3.0,5.0,2.0,3.0,5.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,2.0,4.0,3.0,4.0,1.0,1.0,4.0,3.0,4.0,4.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,4.0,2.0,3.0,5.0,18.0,194.0,90.0,1.0
102,tried smoking,social drinker,i am often early,only to avoid hurting someone,few hours a day,female,right handed,secondary school,yes,city,block of flats,5.0,3.0,1.0,2.0,3.0,5.0,4.0,1.0,5.0,2.0,5.0,1.0,4.0,5.0,5.0,5.0,2.0,1.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,2.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,2.0,4.0,2.0,5.0,4.0,4.0,2.0,1.0,5.0,2.0,1.0,1.0,2.0,4.0,5.0,3.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,4.0,2.0,1.0,3.0,4.0,4.0,5.0,5.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.971086739780658,3.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,3.0,4.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,20.0,168.0,55.0,0.0
103,tried smoking,drink a lot,i am often running late,sometimes,few hours a day,male,right handed,secondary school,yes,city,house/bungalow,5.0,5.0,5.0,2.0,2.0,2.9561316051844466,4.0,5.0,1.0,1.0,1.0,5.0,5.0,4.0,3.0,2.0,5.0,4.0,4.0,5.0,1.0,5.0,5.0,5.0,4.0,4.0,2.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,2.0,2.0,5.0,5.0,2.0,2.0,1.0,5.0,5.0,5.0,2.0,4.0,5.0,2.0,5.0,4.0,4.0,4.0,1.0,5.0,3.0,1.0,4.0,4.0,5.0,4.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,4.0,2.0,1.0,4.0,5.0,4.0,1.0,4.0,5.0,5.0,5.0,2.0,5.0,5.0,4.0,2.0,1.0,1.0,5.0,5.0,5.0,1.0,5.0,1.0,1.0,1.0,2.0,2.0,4.0,4.0,1.0,5.0,3.0,1.0,2.0,1.0,5.0,3.0,5.0,5.0,4.0,4.0,2.0,4.0,2.0,4.0,2.0,4.0,2.0,5.0,4.0,1.0,4.0,4.0,1.0,4.0,5.0,1.0,4.0,5.0,1.0,5.0,5.0,5.0,5.0,22.0,185.0,80.0,0.0
